"name","high","datetime","hour"
"BYND","137.9700012207","2020-05-14 09:39:00.000","9"
"BYND","139.5599975586","2020-05-14 10:31:00.000","10"
"BYND","141.0","2020-05-14 11:15:00.000","11"
"BYND","138.2400054932","2020-05-14 12:57:00.000","12"
"BYND","137.7899017334","2020-05-14 13:00:00.000","13"
"BYND","135.7301025391","2020-05-14 14:12:00.000","14"
"BYND","135.8500061035","2020-05-14 15:54:00.000","15"
"DDOG","67.25","2020-05-14 09:32:00.000","9"
"DDOG","66.5500030518","2020-05-14 10:09:00.000","10"
"DDOG","65.0","2020-05-14 11:05:00.000","11"
"DDOG","65.0","2020-05-14 11:06:00.000","11"
"DDOG","65.0","2020-05-14 11:16:00.000","11"
"DDOG","65.0","2020-05-14 11:20:00.000","11"
"DDOG","64.8799972534","2020-05-14 12:54:00.000","12"
"DDOG","65.0","2020-05-14 13:02:00.000","13"
"DDOG","64.1299972534","2020-05-14 14:48:00.000","14"
"DDOG","65.8699035645","2020-05-14 15:54:00.000","15"
"FB","203.8677978516","2020-05-14 09:37:00.000","9"
"FB","203.3500061035","2020-05-14 10:53:00.000","10"
"FB","204.2700042725","2020-05-14 11:37:00.000","11"
"FB","205.1000061035","2020-05-14 12:56:00.000","12"
"FB","205.6399993896","2020-05-14 13:32:00.000","13"
"FB","204.9850006104","2020-05-14 14:29:00.000","14"
"FB","206.9299926758","2020-05-14 15:59:00.000","15"
"NFLX","452.0","2020-05-14 09:36:00.000","9"
"NFLX","446.5100097656","2020-05-14 10:08:00.000","10"
"NFLX","440.6400146484","2020-05-14 11:16:00.000","11"
"NFLX","440.3399963379","2020-05-14 12:59:00.000","12"
"NFLX","441.7799987793","2020-05-14 13:49:00.000","13"
"NFLX","441.4400024414","2020-05-14 14:30:00.000","14"
"NFLX","442.1400146484","2020-05-14 15:59:00.000","15"
"OKTA","178.0","2020-05-14 09:38:00.000","9"
"OKTA","178.0","2020-05-14 09:39:00.000","9"
"OKTA","177.8067932129","2020-05-14 10:10:00.000","10"
"OKTA","179.8899993896","2020-05-14 11:37:00.000","11"
"OKTA","179.0050048828","2020-05-14 12:57:00.000","12"
"OKTA","178.5","2020-05-14 13:02:00.000","13"
"OKTA","178.5","2020-05-14 13:03:00.000","13"
"OKTA","177.8099975586","2020-05-14 14:32:00.000","14"
"OKTA","177.8500061035","2020-05-14 15:05:00.000","15"
"PINS","16.5400009155","2020-05-14 09:31:00.000","9"
"PINS","16.5400009155","2020-05-14 09:32:00.000","9"
"PINS","16.6749992371","2020-05-14 10:53:00.000","10"
"PINS","16.6749992371","2020-05-14 10:54:00.000","10"
"PINS","16.9449996948","2020-05-14 11:18:00.000","11"
"PINS","17.0400009155","2020-05-14 12:57:00.000","12"
"PINS","17.0300006866","2020-05-14 13:26:00.000","13"
"PINS","16.9050006866","2020-05-14 14:21:00.000","14"
"PINS","16.9050006866","2020-05-14 14:22:00.000","14"
"PINS","17.0900001526","2020-05-14 15:50:00.000","15"
"PINS","17.0900001526","2020-05-14 15:51:00.000","15"
"SHOP","758.0900268555","2020-05-14 09:31:00.000","9"
"SHOP","752.0","2020-05-14 10:10:00.000","10"
"SHOP","752.0","2020-05-14 10:12:00.000","10"
"SHOP","757.4699707031","2020-05-14 11:16:00.000","11"
"SHOP","754.1599731445","2020-05-14 12:57:00.000","12"
"SHOP","755.8200073242","2020-05-14 13:01:00.000","13"
"SHOP","751.799987793","2020-05-14 14:57:00.000","14"
"SHOP","755.5700073242","2020-05-14 15:50:00.000","15"
"SNAP","16.7299995422","2020-05-14 09:31:00.000","9"
"SNAP","16.9300003052","2020-05-14 10:54:00.000","10"
"SNAP","17.1499996185","2020-05-14 11:07:00.000","11"
"SNAP","16.9899997711","2020-05-14 12:57:00.000","12"
"SNAP","17.0","2020-05-14 13:31:00.000","13"
"SNAP","16.9200000763","2020-05-14 14:57:00.000","14"
"SNAP","16.9200000763","2020-05-14 14:58:00.000","14"
"SNAP","16.9699993134","2020-05-14 15:08:00.000","15"
"SNAP","16.9699993134","2020-05-14 15:09:00.000","15"
"SQ","72.8099975586","2020-05-14 09:46:00.000","9"
"SQ","75.5899963379","2020-05-14 10:59:00.000","10"
"SQ","76.4899978638","2020-05-14 11:09:00.000","11"
"SQ","76.75","2020-05-14 12:59:00.000","12"
"SQ","77.1800003052","2020-05-14 13:48:00.000","13"
"SQ","77.2600021362","2020-05-14 14:59:00.000","14"
"SQ","78.25","2020-05-14 15:57:00.000","15"
"TTD","289.4498901367","2020-05-14 09:31:00.000","9"
"TTD","290.0700073242","2020-05-14 10:53:00.000","10"
"TTD","296.8562927246","2020-05-14 11:18:00.000","11"
"TTD","294.5","2020-05-14 12:57:00.000","12"
"TTD","296.0","2020-05-14 13:31:00.000","13"
"TTD","295.7699890137","2020-05-14 14:59:00.000","14"
"TTD","297.6700134277","2020-05-14 15:24:00.000","15"
